pointid,deb thickness,Lat,Long,Easting,Northing,MF
880,1.13608,60.80082344,-138.7212924,21372.69361,6740666.429,0.145841
881,0.694652,60.80081806,-138.719455,21472.69361,6740666.429,0.232807
882,0.649594,60.80081265,-138.7176176,21572.69361,6740666.429,0.247897
883,0.453739,60.80080721,-138.7157803,21672.69361,6740666.429,0.345128
884,0.150934,60.80080175,-138.7139429,21772.69361,6740666.429,0.876866
885,0.0751876,60.80079627,-138.7121055,21872.69361,6740666.429,1.4267401
886,0.0358114,60.80079076,-138.7102682,21972.69361,6740666.429,2.11678
887,0.031384,60.80078522,-138.7084308,22072.69361,6740666.429,2.2385199
888,0.0296905,60.80077966,-138.7065934,22172.69361,6740666.429,2.2681601
889,0.0206035,60.80077408,-138.704756,22272.69361,6740666.429,2.2681601
890,0.0059438,60.80074578,-138.6955692,22772.69361,6740666.429,1.37688
891,0.0098039,60.80074004,-138.6937318,22872.69361,6740666.429,1.62164
892,0.010536,60.80072849,-138.6900571,23072.69361,6740666.429,1.66807
893,0.0101098,60.80072268,-138.6882197,23172.69361,6740666.429,1.64104
894,0.0170375,60.80071684,-138.6863824,23272.69361,6740666.429,2.0803101
895,0.0289213,60.80071098,-138.684545,23372.69361,6740666.429,2.2681601
896,0.0556673,60.8007051,-138.6827077,23472.69361,6740666.429,1.70175
897,0.167876,60.80069918,-138.6808703,23572.69361,6740666.429,0.807279
898,0.254806,60.80069325,-138.6790329,23672.69361,6740666.429,0.573674
899,0.442653,60.80068728,-138.6771956,23772.69361,6740666.429,0.352964
900,0.813514,60.8006813,-138.6753582,23872.69361,6740666.429,0.200598
901,0.30039,60.80060117,-138.6514727,25172.69361,6740666.429,0.498094
902,0.118389,60.80059483,-138.6496353,25272.69361,6740666.429,1.05089
903,0.0541569,60.80058847,-138.647798,25372.69361,6740666.429,1.72752
904,0.0677628,60.80058208,-138.6459606,25472.69361,6740666.429,1.52018
905,0.0688119,60.80057567,-138.6441233,25572.69361,6740666.429,1.50624
906,0.0431115,60.80056923,-138.6422859,25672.69361,6740666.429,1.9426
907,0.0224529,60.80056276,-138.6404486,25772.69361,6740666.429,2.2681601
908,0.0034735,60.80048322,-138.6184006,26972.69361,6740666.429,1.22025
909,0.0040241,60.80047643,-138.6165632,27072.69361,6740666.429,1.25516
910,0.0089444,60.80046961,-138.6147259,27172.69361,6740666.429,1.56715
911,0.0191623,60.80046277,-138.6128886,27272.69361,6740666.429,2.21504
912,0.0297239,60.8004559,-138.6110512,27372.69361,6740666.429,2.2681601
913,0.0704304,60.80044901,-138.6092139,27472.69361,6740666.429,1.48523
914,0.0845305,60.8004421,-138.6073766,27572.69361,6740666.429,1.3243099
915,0.0783972,60.80043515,-138.6055393,27672.69361,6740666.429,1.38981
916,0.0903468,60.80042819,-138.6037019,27772.69361,6740666.429,1.26765
917,0.140021,60.80042119,-138.6018646,27872.69361,6740666.429,0.928417
918,0.241407,60.80041418,-138.6000273,27972.69361,6740666.429,0.600455
919,0.333631,60.80040713,-138.59819,28072.69361,6740666.429,0.454434
920,0.320043,60.80040006,-138.5963526,28172.69361,6740666.429,0.471321
921,0.29909,60.80039297,-138.5945153,28272.69361,6740666.429,0.499973
922,0.231742,60.80038585,-138.592678,28372.69361,6740666.429,0.621382
923,0.175979,60.80037871,-138.5908407,28472.69361,6740666.429,0.777757
924,0.170859,60.80037154,-138.5890034,28572.69361,6740666.429,0.796153
925,0.188663,60.80036435,-138.5871661,28672.69361,6740666.429,0.735646
926,0.214868,60.80035713,-138.5853287,28772.69361,6740666.429,0.661635
927,0.321808,60.80034988,-138.5834914,28872.69361,6740666.429,0.469058
928,0.360524,60.80034261,-138.5816541,28972.69361,6740666.429,0.424343
929,0.283815,60.80033532,-138.5798168,29072.69361,6740666.429,0.523155
930,0.193145,60.800328,-138.5779795,29172.69361,6740666.429,0.721835
931,0.160998,60.80032066,-138.5761422,29272.69361,6740666.429,0.834153
932,0.213622,60.80031329,-138.5743049,29372.69361,6740666.429,0.664817
933,0.231225,60.80030589,-138.5724676,29472.69361,6740666.429,0.622541
934,0.150084,60.80029847,-138.5706303,29572.69361,6740666.429,0.880678
935,3,60.79996781,-138.736002,20572.69361,6740566.429,0.0565855
936,3,60.79996263,-138.7341647,20672.69361,6740566.429,0.0565855
937,3,60.79995742,-138.7323274,20772.69361,6740566.429,0.0565855
938,3,60.79995219,-138.73049,20872.69361,6740566.429,0.0565855
939,2.82265,60.79994693,-138.7286527,20972.69361,6740566.429,0.0600844
940,2.0167799,60.79994165,-138.7268154,21072.69361,6740566.429,0.0835623
941,1.16246,60.79993634,-138.724978,21172.69361,6740566.429,0.142655
942,0.713385,60.799931,-138.7231407,21272.69361,6740566.429,0.227061
943,0.378356,60.79992565,-138.7213034,21372.69361,6740566.429,0.406495
